IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,1477609,9999.995,1230.4683,2049.571,0.0019435296,-0.0075683924,0.096561514,0.0019968387,-0.0003265377,0.018803664,-0.0010802144,-2.9683233E-05,-0.0045743976,-1.5910861,0.023650438,0.0015570878,0.5007377,0.50418997,0.4966924,0.49818742,-0.00053762214,-0.0004999762,-0.00063714175,-0.0006073399,0.060935102,0.061035097,0.061502192,0.061676357,0,0,0,0,0,0,0,0,0,0,0,0,0.0021634505,0.002543819,0.001788818,0.0008181862,0.00222925,0.0025924875,0.0018988996,0.0010189654,5.016476E-05,0.00028491765,-0.00022491813,-0.00012325495,201,3,23,1,6,1492.4789,215.2203,1987.7799,0.018912211,49251.934,233.8943,77.71936,77.82114,81.73071,81.73071,-11.024998,1,-89.91428,0,0,0.10010011,0.10010011,0,4,255,0,0,0,1,0,63,0
True,1477703,9999.995,1230.4683,4213.499,-0.035000693,-0.008150752,0.20012869,0.0036305042,-0.00067073957,0.037607424,-0.0005940568,2.3103317E-05,-0.0082424,-1.5910846,0.023563985,0.00086427655,0.49523655,0.50854856,0.49372408,0.5053668,-0.00054521236,-0.0004812674,-0.00064386835,-0.0006014404,0.12000097,0.1198072,0.12065891,0.1205362,0,0,0,0,0,0,0,0,0,0,0,0,0.001344303,0.0019742209,0.0013833372,0.00061981037,0.0014506575,0.002032035,0.0015258401,0.0008636523,-0.000323914,0.00058130175,-0.0004267618,0.00036494434,201,3,23,1,6,1492.4761,215.22018,1987.7802,0.03778821,182204.52,419.87103,77.68819,77.79006,81.695435,81.695435,-9.132265,1,-89.909676,0,0,0.20020021,0.20020023,0,4,226,0,0,0,1,0,63,0
True,1477843,9999.995,1230.4683,4389.5034,-0.019225128,-0.06258457,5.989451,-0.0038046474,-0.006676459,0.78070897,-0.046943262,0.009484537,-0.010502539,-1.5907937,0.02006644,-0.00017868778,0.45310977,0.4821185,0.54319537,0.54648185,-0.028282536,-0.027003407,15.484461,17.744797,2.491276,2.4455676,36.707123,40.768753,0,0,0,0,0,0,0,0,0,0,0,0,-0.012465103,-0.010251641,0.07811299,0.07194926,0.030907614,0.028883908,15.484658,17.744944,-0.0031885356,-0.0012159422,0.002937287,0.0031607673,201,3,23,1,6,1492.4326,215.2189,1987.7795,0.7807469,118819.21,258.42203,77.654045,77.755844,86.751564,86.751564,-2.723486,1,-89.832306,0,0,0.33366704,0.33366707,0,4,213,0,0,0,1,0,63,0
True,1477937,9999.995,1230.4683,4756.2383,-0.01687847,-0.14168686,7.0260873,-0.010836566,-0.022283314,1.5256234,-0.03475279,0.0073695215,0.0047138287,-1.5897323,0.015966158,-0.00070928736,0.39294845,0.4398012,0.573016,0.6184296,-0.026015028,-0.026105657,17.45642,16.685896,4.834869,4.7969956,42.692398,41.256435,0,0,0,0,0,0,0,0,0,0,0,0,0.0003152424,0.0019588217,0.104911745,0.10527056,0.026016938,0.026179044,17.456736,16.686228,-0.007279508,-0.0040935203,0.0049650893,0.008053213,201,3,23,1,6,1492.3156,215.21562,1987.7764,1.5258247,180473.36,363.4318,77.6349,77.73697,95.41738,95.41738,0.9046316,1,-89.623985,0,0,0.43376714,0.4337672,0,4,255,0,0,0,1,0,64,0
True,1478046,9999.995,1230.4683,5103.883,-0.015465811,0.1044488,7.734405,-0.0022967681,-0.011033438,2.3157377,-0.010779015,-0.010086264,0.019979319,-1.5897821,0.013600225,0.0007501809,0.36948645,0.41648635,0.6103926,0.6777206,-0.02833717,-0.029412424,18.971937,15.311236,7.256798,7.3034997,48.361523,41.72333,0,0,0,0,0,0,0,0,0,0,0,0,0.016614497,0.018256653,-0.06466272,-0.06082376,0.032848693,0.034617856,18.972048,15.311357,-0.008874923,-0.0056789294,0.0075066984,0.012085006,201,3,23,1,6,1492.1232,215.21095,1987.7719,2.315765,196678.02,368.79913,77.617256,77.71976,103.489746,103.489746,4.841691,1,-89.281525,0,0,0.53386724,0.5338673,0,4,242,0,0,0,1,0,64,0
True,1478171,9999.995,1230.4683,5008.7695,-0.05057083,0.13419192,8.035416,0.0018275455,-0.009781811,3.3534095,0.006190848,-0.003869011,0.003450676,-1.5906898,0.013058712,0.0014931842,0.35373867,0.38976628,0.64175385,0.6692512,-0.030581234,-0.030344326,15.404638,14.970659,10.531261,10.550154,44.61028,43.795807,0,0,0,0,0,0,0,0,0,0,0,0,0.0013906239,0.0032901303,-0.021347966,-0.019511962,0.030612836,0.030522173,15.404654,14.970672,-0.009945773,-0.007495895,0.009639263,0.011509083,201,3,23,1,6,1491.7463,215.20361,1987.7649,3.3534243,137962.72,262.80176,77.59674,77.69967,113.75285,113.75285,8.064101,1,-88.611496,0,0,0.6673341,0.667334,0,4,173,0,0,0,1,0,63,0
True,1478281,9999.995,1230.4683,5035.197,-0.04692036,-0.25664794,7.1730804,0.00362885,-0.04196204,4.064319,0.0004260356,-0.003297858,-0.0037438653,-1.5913057,0.013556579,0.0019876717,0.35079876,0.37891,0.6108281,0.6163462,-0.028696597,-0.02693297,13.90013,14.9750595,12.796681,12.816487,43.38069,45.491837,0,0,0,0,0,0,0,0,0,0,0,0,0.0030521422,0.0045125927,-0.016125558,-0.015147781,0.028858451,0.027308393,13.90014,14.975067,-0.010145687,-0.008234121,0.0075363144,0.007911541,201,3,23,1,6,1491.3735,215.19594,1987.7577,4.0645375,137052.03,259.8397,77.58214,77.685425,120.68721,120.68721,8.995397,1,-87.94857,0,0,0.7674342,0.76743406,0,4,169,0,0,0,1,0,63,0
True,1478375,9999.995,1230.4683,5079.556,-0.08112198,-0.071711965,7.67268,0.0011019036,-0.037077848,4.8547235,0.0033092971,-0.0058510057,0.0047238376,-1.5915946,0.013937616,0.0020921517,0.35276803,0.3775045,0.5912175,0.6187811,-0.024327343,-0.024038566,14.281682,13.075029,15.300591,15.329701,45.889362,43.766106,0,0,0,0,0,0,0,0,0,0,0,0,0.004929503,0.0064229947,-0.019156428,-0.017825328,0.024821758,0.024881871,14.281695,13.075042,-0.010011777,-0.008329697,0.0062027946,0.008077115,201,3,23,1,6,1490.9247,215.18666,1987.7485,4.854865,159083.11,299.56503,77.569855,77.67359,127.55732,127.55732,9.9747,1,-87.15044,0,0,0.8675343,0.8675341,0,4,187,0,0,0,1,0,63,0
True,1478484,9999.995,1230.4683,5514.5996,-0.04817389,0.07197357,7.727773,0.0014287159,-0.03854947,5.608558,0.00020262902,-0.00094330497,-0.0019497545,-1.5918862,0.013766725,0.0018507332,0.3576519,0.3798064,0.6133478,0.63388133,-0.030842103,-0.030649276,14.111364,13.600413,17.689371,17.693695,49.16885,48.165253,0,0,0,0,0,0,0,0,0,0,0,0,-0.00027774592,0.0013534442,-0.0031085392,-0.0017662689,0.030843353,0.030679146,14.111364,13.600413,-0.009679675,-0.008173168,0.0077076554,0.0091039315,201,3,23,1,6,1490.4025,215.17464,1987.7378,5.6086903,226222.52,392.5596,77.5582,77.66238,133.91344,133.91344,11.961375,1,-86.221695,0,0,0.9676344,0.96763414,0,4,230,0,0,0,1,0,63,0
True,1478609,9999.995,1230.4683,6544.504,-0.036492735,-0.04102773,7.4315724,0.0028105974,-0.054309838,6.6020617,-0.0026649213,-0.0014196482,-0.002838346,-1.5923567,0.01358473,0.0018047115,0.34642977,0.372295,0.60820705,0.63538325,-0.028486863,-0.02833569,15.0630865,14.950259,20.838217,20.844633,57.884636,57.62755,0,0,0,0,0,0,0,0,0,0,0,0,-0.0006067803,0.00086280005,-0.0043202196,-0.0030203452,0.028493324,0.028348824,15.063087,14.95026,-0.0104427785,-0.008683942,0.0073580816,0.009206064,201,3,23,1,6,1489.5872,215.15666,1987.7207,6.602286,310057.6,453.72363,77.54495,77.649864,141.97557,141.97557,15.318109,1,-84.77163,0,0,1.1011012,1.1011009,0,4,255,0,0,0,1,0,63,0
True,1478718,9999.995,1230.4683,7325.26,-0.08445056,-0.20371641,7.32564,0.0049854815,-0.070178695,7.351566,-0.0022900105,-0.008694948,0.004051364,-1.5929562,0.013654988,0.0023181657,0.33870012,0.3578368,0.575751,0.60226303,-0.020277916,-0.020150272,15.878356,15.3770075,23.209215,23.252,65.13833,64.1544,0,0,0,0,0,0,0,0,0,0,0,0,0.0027673927,0.0040657395,-0.020758798,-0.019515125,0.020465882,0.020556355,15.878369,15.37702,-0.010968395,-0.0096670985,0.0051510707,0.0069538876,201,3,23,1,6,1488.8859,215.14172,1987.7057,7.3519015,314217.94,410.85712,77.53613,77.641525,147.79938,147.79938,15.847875,1,-83.52421,0,0,1.2012013,1.201201,0,4,255,0,0,0,1,0,63,0
True,1478812,9999.995,1230.4683,7827.1255,-0.013500556,0.103301704,7.979604,0.0067764223,-0.055741895,8.152382,-0.00039579463,-0.010549496,0.006854737,-1.5934651,0.0134565225,0.001966768,0.37002182,0.36265177,0.590254,0.628881,-0.019689158,-0.020968426,15.752047,13.414204,25.733646,25.781775,71.82336,66.32744,0,0,0,0,0,0,0,0,0,0,0,0,0.0012228104,0.0025442285,-0.0231164,-0.020898376,0.019727092,0.021122215,15.752064,13.41422,-0.008838519,-0.009339683,0.006137274,0.008763909,201,3,23,1,6,1488.1095,215.1249,1987.689,8.152575,309717.34,378.55853,77.52832,77.63391,153.49869,153.49869,15.962161,1,-82.14299,0,0,1.3013014,1.301301,0,4,255,0,0,0,1,0,64,0
True,1478906,9999.995,1230.4683,8284.997,0.0675574,0.08521603,7.6629925,0.0149178505,-0.064665645,8.89307,-0.013158841,-0.009733404,-0.0013970326,-1.5946472,0.0125816865,0.0018964317,0.39105973,0.40147442,0.59681433,0.6188296,-0.021127848,-0.021200731,13.646151,13.597762,28.08824,28.135393,73.12476,73.10756,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034674313,-0.0018949875,-0.024889668,-0.023362994,0.02141049,0.021285253,13.6461735,13.597782,-0.007407941,-0.006699741,0.0065833777,0.008080415,201,3,23,1,6,1487.2574,215.10692,1987.6703,8.893318,302519.38,348.91986,77.520996,77.62651,158.7983,158.7983,15.986819,1,-80.62798,0,0,1.4014015,1.401401,0,4,255,0,0,0,1,0,64,0
True,1479046,9999.995,1230.4683,8140.816,0.2547123,-0.14443061,7.3789573,0.051382422,-0.098060735,9.895132,-0.02218382,0.00048285123,-0.0024333699,-1.596356,0.010540744,0.002729394,0.38938707,0.40094084,0.6119684,0.5706304,-0.018660266,-0.016529197,10.330943,11.981727,31.301111,31.306833,69.375656,74.311844,0,0,0,0,0,0,0,0,0,0,0,0,0.042277027,0.044713426,-0.04394141,-0.04430289,0.04621204,0.047670797,10.331037,11.981809,-0.0075216815,-0.006736025,0.0076138526,0.004802868,201,3,23,1,6,1486.0005,215.08221,1987.6422,9.895751,299196.9,351.35287,77.51633,77.6217,165.51599,165.51599,14.856519,1,-78.3922,0,0,1.5348684,1.5348678,0,4,255,0,0,0,1,4,64,0
True,1479140,9999.995,1230.4683,8410.269,0.35843736,-0.040162414,7.9254875,0.07890302,-0.10142794,10.718732,-0.006798578,0.022181178,0.0010506734,-1.594722,0.009280698,0.0030453594,0.37611145,0.37774357,0.6251081,0.62375957,-0.01445,-0.014331865,10.448954,10.352846,33.956665,33.84814,74.46352,73.97989,0,0,0,0,0,0,0,0,0,0,0,0,0.0077135433,0.010341745,-0.044897262,-0.043226723,0.016379904,0.01767354,10.44905,10.352937,-0.008424424,-0.00831344,0.008507356,0.008415654,201,3,23,1,6,1484.9661,215.06299,1987.624,10.7195015,299493.75,340.54297,77.52176,77.62741,170.48517,170.48517,15.748296,1,-76.552826,0,0,1.6349684,1.6349678,0,4,255,0,0,0,1,4,63,0
True,1479250,9999.995,1230.4683,8041.5947,-0.3543559,0.13148095,8.390599,0.010777518,-0.09444599,11.542151,0.0072004464,0.00617931,-0.001451964,-1.5933762,0.009031685,0.002258889,0.35940933,0.3641194,0.654219,0.6735485,-0.016319651,-0.016702708,8.188022,7.8873367,36.49217,36.460155,71.54048,70.39574,0,0,0,0,0,0,0,0,0,0,0,0,-0.01349108,-0.011228595,-0.0033968135,-0.0013515784,0.021174047,0.020126147,8.188023,7.8873367,-0.009560168,-0.009239882,0.010486893,0.011801302,201,3,23,1,6,1483.853,215.04248,1987.602,11.542543,299036,355.38596,77.52573,77.63146,175.0665,175.0665,14.582532,1,-74.57327,0,0,1.7350686,1.7350678,0,4,255,0,0,0,1,0,63,0
True,1479375,9999.995,1230.4683,8496.114,-0.019272149,-0.025922729,8.046323,0.0006197989,-0.10653264,12.573093,0.009798447,0.0011003743,-0.0053918744,-1.5934247,0.010080902,0.00202047,0.3508299,0.34426033,0.6350563,0.6481024,-0.015231606,-0.015352195,7.537879,7.528028,39.74038,39.734627,75.026566,74.932045,0,0,0,0,0,0,0,0,0,0,0,0,-0.00066218287,0.0012930953,0.0012879472,0.002935195,0.015245993,0.015406556,7.537879,7.5280285,-0.010143571,-0.0105903,0.0091838315,0.010070965,201,3,23,1,6,1482.2448,215.01242,1987.5663,12.5735445,297531.4,334.54694,77.523254,77.62826,180.5224,180.5224,15.811025,1,-71.68663,0,0,1.8685353,1.8685346,0,4,255,0,0,0,1,0,63,0
True,1479484,9999.995,1230.4683,8234.255,-0.11677767,-0.27483523,7.5116334,0.0022445023,-0.12180363,13.333648,0.0021025522,-0.0053413524,-0.0041864133,-1.5937397,0.010987123,0.0019070226,0.34534264,0.3326139,0.5889814,0.5978837,-0.011562826,-0.011587598,6.3912454,6.240086,42.158375,42.18495,72.95951,72.37723,0,0,0,0,0,0,0,0,0,0,0,0,0.002726996,0.0042224964,-0.005046626,-0.003686181,0.011880045,0.012332961,6.3912477,6.2400875,-0.010516703,-0.011382259,0.0060507357,0.0066560954,201,3,23,1,6,1480.9457,214.98784,1987.5367,13.334205,298227.44,346.40445,77.522766,77.62726,184.25877,184.25877,14.902686,1,-69.37632,0,0,1.9686354,1.9686346,0,4,255,0,0,0,1,0,63,0
True,1479578,9999.995,1230.4683,8454.304,-0.112760946,0.15261044,8.2071295,0.0006441176,-0.102096654,14.171677,-0.0048520477,-0.0037357884,-0.0007046695,-1.5938469,0.0108326385,0.001035222,0.36257365,0.3387893,0.5915568,0.6101188,-0.0117732715,-0.012431751,6.1758485,5.299481,44.820385,44.83577,76.63081,72.58982,0,0,0,0,0,0,0,0,0,0,0,0,0.0015104682,0.00265696,-0.002831167,-0.0014148097,0.01186977,0.012712508,6.175849,5.299481,-0.009344995,-0.01096233,0.0062258616,0.0074880794,201,3,23,1,6,1479.569,214.96155,1987.5052,14.172044,298437.84,337.42227,77.523895,77.62832,188.06897,188.06897,15.758254,1,-66.927605,0,0,2.0687356,2.0687346,0,4,255,0,0,0,1,0,63,0
True,1479671,9999.995,1230.4683,7971.4297,-0.009922728,0.16219373,7.864202,0.0055862367,-0.123512365,14.941271,-0.03541191,-0.000540092,-0.009463046,-1.5942887,0.008661526,0.00039512996,0.38178155,0.36813298,0.59386516,0.59194815,-0.013779512,-0.01370013,3.9680567,4.2332997,47.29139,47.294434,69.763695,70.93408,0,0,0,0,0,0,0,0,0,0,0,0,-0.00083102693,0.00011120065,-0.0016897205,-0.0002447591,0.013804548,0.013700582,3.9680572,4.2332997,-0.008038856,-0.00896696,0.0063828304,0.006252475,201,3,23,1,6,1478.1133,214.93513,1987.4717,14.941783,293708.88,351.9681,77.52679,77.63066,191.294,191.294,13.437543,1,-64.338715,0,0,2.1688356,2.1688347,0,4,255,0,0,0,1,0,63,0
True,1479812,9999.995,1230.4683,8283.495,0.005055055,0.268011,8.296272,0.009058416,-0.16022415,16.087301,-0.046035796,0.00082920893,-0.013192085,-1.5947309,0.0030967705,-0.00011015401,0.3940063,0.38875848,0.638035,0.6069169,-0.012717673,-0.011930759,3.2002757,4.1738644,50.940693,50.941246,70.35179,75.85405,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026818016,-0.0009505208,-0.0030872785,-0.0012365624,0.012997356,0.011968562,3.200277,4.173865,-0.0072075725,-0.0075644255,0.009386383,0.007270351,201,3,23,1,6,1476.0399,214.90486,1987.4235,16.0881,300693.1,346.77866,77.5331,77.63654,195.64897,195.64897,15.662881,1,-60.651093,0,0,2.3023024,2.3023014,0,4,255,0,0,0,1,0,63,0
True,1479906,9999.995,1230.4683,8350.101,0.048630238,0.2123615,9.069966,0.005963415,-0.17958103,17.033958,-0.017489268,-0.0061319037,0.005304399,-1.5947177,-1.3102907E-05,-4.7205587E-05,0.35663542,0.36198735,0.65015644,0.6544461,-0.010365492,-0.010437054,3.3802578,2.9171927,53.89658,53.926376,74.87206,72.50936,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018242489,0.0005771529,-0.008995464,-0.0067851436,0.010524794,0.010453,3.3802698,2.9172006,-0.009748794,-0.009384863,0.010210641,0.010502338,201,3,23,1,6,1474.3798,214.88647,1987.3845,17.034904,301174.16,344.74005,77.53884,77.64231,198.89847,198.89847,15.922254,1,-57.698795,0,0,2.4024026,2.4024014,0,4,255,0,0,0,1,0,63,0
True,1480015,9999.995,1230.4683,8394.396,-0.0042696744,0.20583974,9.634019,0.0019675791,-0.17803621,17.975424,0.006027471,0.004961833,0.003966175,-1.5947056,-0.0007119899,-0.000112872425,0.33404812,0.348795,0.67893004,0.680857,-0.012299293,-0.012237067,2.4315128,2.6425889,56.85771,56.833183,73.46264,74.70064,0,0,0,0,0,0,0,0,0,0,0,0,-0.005507308,-0.0029168185,-0.0001876077,0.002054471,0.013476017,0.012579891,2.4315128,2.6425896,-0.011284731,-0.010281943,0.012167245,0.0122982785,201,3,23,1,6,1472.6289,214.86877,1987.343,17.976307,299980.4,341.18777,77.54539,77.64931,200.53918,200.53918,15.978208,1,-54.585026,0,0,2.5025027,2.5025015,0,4,255,0,0,0,1,0,63,0
True,1480140,9999.995,1230.4683,8011.081,-0.06348352,-0.20451035,9.268181,-0.0010537505,-0.20050406,19.172987,0.009708819,0.0004888085,0.0020188857,-1.5947816,0.0004609579,0.0006682854,0.3342608,0.32886755,0.6489628,0.6560845,-0.011485571,-0.011737626,1.3934625,1.3599162,60.63516,60.630936,70.86698,70.53066,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015353946,0.00096947275,-0.00066083146,0.0013062794,0.011587743,0.011777595,1.3934628,1.3599168,-0.01127027,-0.01163701,0.010129474,0.010613747,201,3,23,1,6,1470.1514,214.84285,1987.2837,19.174036,302276.75,360.35345,77.55677,77.660355,199.1384,199.1384,15.182214,1,-50.179115,0,0,2.6359694,2.6359682,0,4,255,0,0,0,1,0,63,0
True,1480281,9999.995,1230.4683,8175.1104,-0.10297893,0.06363669,9.37055,0.0016278327,-0.20601487,20.428926,-0.027262326,-0.0040793247,-0.004594073,-1.5952084,-0.00015811627,0.0007122017,0.38146546,0.37189606,0.64459807,0.6360595,-0.0104072,-0.010353741,0.96019214,0.9391154,64.652855,64.67357,72.20889,72.083916,0,0,0,0,0,0,0,0,0,0,0,0,0.0010294636,0.0028790543,-0.003023278,-0.0008366566,0.010457993,0.010746577,0.9601969,0.93911576,-0.008060351,-0.00871107,0.009832673,0.009252049,201,3,23,1,6,1467.5072,214.81471,1987.2198,20.429964,303595.88,354.71106,77.573296,77.67587,193.4988,193.4988,15.888619,1,-45.476875,0,0,2.7694364,2.769435,0,4,255,0,0,0,1,0,63,0
True,1480375,9999.995,1230.4683,7587.557,-0.057495087,0.5271083,6.664293,0.0007672906,-0.20836411,21.115278,-0.0015582488,-0.0015263336,-0.0028317317,-1.5954908,-0.0031700744,0.00029583898,0.3643448,0.36293215,0.6720805,0.6686037,0.0010973334,0.0011281458,-0.027569765,-0.02731681,66.89802,66.90586,66.95568,66.96667,0,0,0,0,0,0,0,0,0,0,0,0,0.00010077682,0.0017341549,-0.0018416598,0.0005224618,0.0011019512,0.0020688176,0.027631208,0.027321806,-0.009224556,-0.009320617,0.01170148,0.011465058,201,3,23,1,6,1465.4177,214.79733,1987.1687,21.116306,-97666.79,-122.7111,77.58763,77.69022,188.54536,188.54536,1.5017042,1,-41.76086,0,0,2.8695364,2.869535,0,4,255,0,0,0,1,0,63,0
True,1480515,9999.995,1230.4683,7106.5825,-0.031734224,0.59162533,-0.58631533,-0.0012702346,-0.04039498,20.900402,0.024428528,-0.00021755956,-0.0006135881,-1.5955813,0.0011141185,0.00015442003,0.49420235,0.4907271,0.54743266,0.552489,0.0001181481,0.00012815761,0.00014327833,0.00015578643,66.17138,66.17248,66.5511,66.55228,0,0,0,0,0,0,0,0,0,0,0,0,0.00071020494,0.00069470465,0.00032351725,0.0006665881,0.0007199653,0.0007064269,0.00035382493,0.00068455026,-0.00039424002,-0.00063055754,0.0032254234,0.0035692528,201,3,23,1,6,1462.6182,214.78357,1987.0992,20.900444,-73807.19,-98.948395,77.60863,77.71148,182.03229,182.03229,-9.404213,1,-36.782166,0,0,3.0030031,3.0030017,0,4,255,0,0,0,1,0,63,0
True,1480609,9999.995,1230.4683,6554.277,-0.010183865,0.523397,-0.2921725,-0.0016986132,0.024767542,20.869804,-0.008479819,0.00023209056,0.001375853,-1.5955772,0.001662106,0.00021108118,0.53265774,0.53259695,0.51223725,0.50819016,0.00021367136,0.00021768271,0.00025482947,0.00026703157,66.12021,66.1191,66.49936,66.49832,0,0,0,0,0,0,0,0,0,0,0,0,0.0005365907,2.9973053E-05,0.0006276909,0.0005450106,0.0005775682,0.00021973654,0.00067744666,0.0006069122,0.0022207275,0.0022165924,0.000832133,0.0005569309,201,3,23,1,6,1460.5282,214.78026,1987.0472,20.869818,-63099.426,-91.72051,77.62493,77.72759,177.45732,177.45732,-10.675343,1,-33.0516,0,0,3.1031034,3.1031017,0,4,255,0,0,0,1,0,63,0
True,1480718,9999.995,1230.4683,5851.5835,-0.007825219,0.37905997,0.3200218,-0.002913475,0.023176452,20.908173,-0.031922895,0.0005025476,0.0081812125,-1.5955412,-8.077133E-05,0.00064626354,0.52144,0.55719227,0.50698763,0.50076455,-0.0026548954,-0.002636503,0.14302954,0.14897123,66.24712,66.24454,67.79751,67.83643,0,0,0,0,0,0,0,0,0,0,0,0,-8.4975276E-05,-0.0007461151,-2.5487645E-05,-3.092052E-05,0.002656255,0.002740043,0.14302954,0.14897124,0.0014579222,0.0038890764,0.00047516078,5.199015E-05,201,3,23,1,6,1458.4402,214.78102,1986.9954,20.908186,-13302.165,-21.583223,77.63992,77.7429,173.16095,173.16095,-7.31723,1,-29.338076,0,0,3.2032034,3.2032018,0,4,255,0,0,0,2,0,63,0
True,1480843,9999.995,1230.4683,4758.8623,0.06003978,0.46909928,2.7799609,-0.0018517971,-0.06914122,21.371805,-0.042552467,3.953387E-05,0.000120829616,-1.595503,-0.007307841,0.0012975164,0.5231231,0.51369584,0.5677584,0.59251976,-0.0023440104,-0.0024913615,0.11198877,0.10819592,67.73532,67.73383,69.18307,69.15998,0,0,0,0,0,0,0,0,0,0,0,0,0.0002764637,0.00104494,0.0003355176,0.0010757535,0.0023602578,0.0027016257,0.11198927,0.10820127,0.0015723705,0.0009313151,0.004607573,0.0062913448,201,3,23,1,6,1455.6149,214.78824,1986.9252,21.371918,91285.21,183.20822,77.66069,77.76318,167.92633,167.92633,-3.6280537,1,-24.313599,0,0,3.3366702,3.3366685,0,4,255,0,0,0,2,0,63,0
True,1480953,9999.995,1230.4683,4825.629,0.021116711,0.23583145,3.544796,0.0034033656,-0.09104955,21.741924,-0.003457766,-0.00062786357,-0.008682241,-1.5955437,-0.0093911635,0.0005358128,0.44334996,0.40791556,0.6107661,0.6177392,-0.004336441,-0.0043477556,0.23292229,0.22618838,68.83349,68.83684,71.12096,71.08578,0,0,0,0,0,0,0,0,0,0,0,0,-0.00017398776,0.00091116835,-0.00062395725,0.00031699304,0.0043399297,0.0044422075,0.23292312,0.2261886,-0.0038522035,-0.0062617436,0.0075320974,0.008006267,201,3,23,1,6,1453.4585,214.79872,1986.872,21.742115,162631.06,322.1339,77.675705,77.77639,164.27518,164.27518,-1.5334778,1,-20.479055,0,0,3.4367704,3.4367685,0,4,255,0,0,0,2,0,63,0
True,1481078,9999.995,1230.4683,5026.2183,0.040938966,0.14351267,5.2049356,0.002850771,-0.121004835,22.442167,-0.03421513,0.00050545036,0.0006747539,-1.5955591,-0.011344402,-0.00037695759,0.48173928,0.47732592,0.5753859,0.55636626,-0.005610632,-0.0055620624,0.305235,0.31479928,71.08283,71.08057,74.02433,74.09358,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019197894,-0.0007227087,-0.0015334665,-0.0005387742,0.00592999,0.0056088185,0.30523887,0.31479973,-0.0012417287,-0.001541838,0.0051262453,0.0038329065,201,3,23,1,6,1450.5114,214.81479,1986.7994,22.442492,202275.62,384.5575,77.697266,77.798485,159.80595,159.80595,3.8241587,1,-15.237742,0,0,3.5702372,3.5702353,0,4,255,0,0,0,2,0,63,0
True,1481187,9999.995,1230.4683,5161.039,0.07131519,0.31446728,5.966087,-0.00037896633,-0.15339576,23.0403,-0.019420233,0.0008414778,0.0051955646,-1.595482,-0.014430318,-1.906423E-05,0.4555744,0.45928982,0.654634,0.64444953,-0.0062139956,-0.0062005343,0.30911875,0.3103435,72.95296,72.94876,76.04433,76.04662,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018874529,2.8334029E-05,-0.0011078697,0.0004234598,0.0064943223,0.006200599,0.30912074,0.3103438,-0.0030209422,-0.002768293,0.010515116,0.00982257,201,3,23,1,6,1448.2351,214.83058,1986.7433,23.04081,225704.77,417.96323,77.71442,77.815956,156.7113,156.7113,8.331176,1,-11.189912,0,0,3.6703372,3.6703353,0,4,255,0,0,0,2,0,63,0
